Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,31.570000,32.189999,31.280001,31.920000,31.920000,17337100
2022-01-05,32.000000,32.060001,30.559999,30.610001,30.610001,29552100
2022-01-06,30.740000,31.430000,30.459999,30.580000,30.580000,30193600
2022-01-07,30.760000,30.990000,30.530001,30.830000,30.830000,16889100
2022-01-10,30.700001,31.059999,30.389999,30.719999,30.719999,17334600
2022-01-11,30.850000,32.090000,30.650000,31.990000,31.990000,30661100
2022-01-12,32.180000,33.250000,32.150002,33.049999,33.049999,25548000
2022-01-13,32.849998,34.450001,32.830002,33.849998,33.849998,32479700
2022-01-14,34.070000,34.740002,33.619999,34.560001,34.560001,28261000
2022-01-17,34.419998,34.939999,34.270000,34.450001,34.450001,7079200
2022-01-18,34.529999,34.930000,33.810001,34.570000,34.570000,14950100
2022-01-19,34.810001,35.150002,34.250000,34.250000,34.250000,19605900
2022-01-20,34.500000,34.840000,34.020000,34.470001,34.470001,18238900
2022-01-21,34.250000,34.820000,34.189999,34.590000,34.590000,16277600
2022-01-24,34.450001,35.080002,33.369999,34.650002,34.650002,25099100
2022-01-25,34.380001,36.020000,34.119999,35.799999,35.799999,21039200
2022-01-26,36.000000,37.400002,36.000000,36.849998,36.849998,22400800
2022-01-27,37.169998,37.660000,36.560001,36.990002,36.990002,27254700
2022-01-28,36.849998,37.799999,35.470001,35.889999,35.889999,24342500
2022-01-31,36.049999,36.169998,35.029999,35.270000,35.270000,22445000
2022-02-01,35.160000,36.459999,34.730000,36.310001,36.310001,19064200
2022-02-02,36.610001,36.619999,35.400002,35.660000,35.660000,11735200
2022-02-03,35.470001,35.480000,34.680000,35.279999,35.279999,16656900
2022-02-04,35.509998,36.580002,35.130001,36.110001,36.110001,20805400
